2025-07-30 00:00:19.753 [main] INFO  c.a.e.EventManagementBackendJavaSpringApplication - Starting EventManagementBackendJavaSpringApplication using Java 21.0.4 with PID 21708 (D:\SpringBoot3\event_management_backend_java_spring\target\classes started by chayb in D:\SpringBoot3\event_management_backend_java_spring)
2025-07-30 00:00:19.763 [main] INFO  c.a.e.EventManagementBackendJavaSpringApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-30 00:00:21.833 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-07-30 00:00:21.839 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-30 00:00:21.839 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-07-30 00:00:21.959 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-30 00:00:22.404 [cluster-ClusterId{value='6888fe2632aa63d350c7f950', description='null'}-srv-eventcheckinsystem.wwjwkb1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017 to client view of cluster
2025-07-30 00:00:22.446 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/21.0.4+8-LTS-274"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='chaybon894', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@26c7b1c6, com.mongodb.Jep395RecordCodecProvider@19526f1d, com.mongodb.KotlinCodecProvider@3d1c933]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=eventcheckinsystem.wwjwkb1.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-9e3adx-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
2025-07-30 00:00:22.454 [cluster-ClusterId{value='6888fe2632aa63d350c7f950', description='null'}-srv-eventcheckinsystem.wwjwkb1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017 to client view of cluster
2025-07-30 00:00:22.459 [cluster-ClusterId{value='6888fe2632aa63d350c7f950', description='null'}-srv-eventcheckinsystem.wwjwkb1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017 to client view of cluster
2025-07-30 00:00:23.341 [cluster-ClusterId{value='6888fe2632aa63d350c7f950', description='null'}-ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=432517400, minRoundTripTimeNanos=0, setName='atlas-9e3adx-shard-0', canonicalAddress=ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, hosts=[ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='ape1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000003a, setVersion=25, topologyVersion=TopologyVersion{processId=687a599a713d166a4bd42aaf, counter=6}, lastWriteDate=Wed Jul 30 00:00:20 ICT 2025, lastUpdateTimeNanos=347223930397600}
2025-07-30 00:00:23.341 [cluster-ClusterId{value='6888fe2632aa63d350c7f950', description='null'}-ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=432526600, minRoundTripTimeNanos=0, setName='atlas-9e3adx-shard-0', canonicalAddress=ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017, hosts=[ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='ape1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=25, topologyVersion=TopologyVersion{processId=687a5c1742e3439de07a2d90, counter=3}, lastWriteDate=Wed Jul 30 00:00:20 ICT 2025, lastUpdateTimeNanos=347223930397600}
2025-07-30 00:00:23.341 [cluster-ClusterId{value='6888fe2632aa63d350c7f950', description='null'}-ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=433882400, minRoundTripTimeNanos=0, setName='atlas-9e3adx-shard-0', canonicalAddress=ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, hosts=[ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='ape1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=25, topologyVersion=TopologyVersion{processId=687a56368a27d84abb6f6e9c, counter=4}, lastWriteDate=Wed Jul 30 00:00:20 ICT 2025, lastUpdateTimeNanos=347223930397600}
2025-07-30 00:00:23.346 [cluster-ClusterId{value='6888fe2632aa63d350c7f950', description='null'}-ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017 with max election id 7fffffff000000000000003a and max set version 25
2025-07-30 00:00:24.066 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
2025-07-30 00:00:25.763 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
