2025-07-31 15:49:01.047 [main] INFO  c.a.e.EventManagementBackendJavaSpringApplicationTests - Started EventManagementBackendJavaSpringApplicationTests in 10.213 seconds (process running for 11.976)
2025-07-31 15:49:01.850 [main] INFO  c.a.e.config.ApplicationInitConfig - CNTT department ready with ID: 6888fcb6953718eda0429191
2025-07-31 15:49:01.927 [main] INFO  c.a.e.config.ApplicationInitConfig - Default admin user already exists
2025-07-31 15:49:02.041 [main] INFO  c.a.e.config.ApplicationInitConfig - Demo student user already exists
2025-07-31 15:49:14.064 [main] INFO  c.a.e.EventManagementBackendJavaSpringApplication - Starting EventManagementBackendJavaSpringApplication using Java 21.0.4 with PID 13520 (D:\SpringBoot3\event_management_backend_java_spring\target\classes started by chayb in D:\SpringBoot3\event_management_backend_java_spring)
2025-07-31 15:49:14.070 [main] INFO  c.a.e.EventManagementBackendJavaSpringApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-31 15:49:15.924 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-07-31 15:49:15.927 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-31 15:49:15.929 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-07-31 15:49:16.018 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-31 15:49:16.336 [cluster-ClusterId{value='688b2e0c406c12f6a54f6ba0', description='null'}-srv-eventcheckinsystem.wwjwkb1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017 to client view of cluster
2025-07-31 15:49:16.390 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/21.0.4+8-LTS-274"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='chaybon894', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@7103745, com.mongodb.Jep395RecordCodecProvider@227a933d, com.mongodb.KotlinCodecProvider@25de8898]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=eventcheckinsystem.wwjwkb1.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-9e3adx-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
2025-07-31 15:49:16.396 [cluster-ClusterId{value='688b2e0c406c12f6a54f6ba0', description='null'}-srv-eventcheckinsystem.wwjwkb1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017 to client view of cluster
2025-07-31 15:49:16.400 [cluster-ClusterId{value='688b2e0c406c12f6a54f6ba0', description='null'}-srv-eventcheckinsystem.wwjwkb1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017 to client view of cluster
